NUM,NAME,GWP
1,"""CO2¤G®ñ¤ÆºÒ""",1
2,"""CH4¥ÒÖJ""",28
3,"""N2O®ñ¤Æ¨È´á""",265
4,"""HFC-23/R-23¤T¬t¥ÒÖJ¡ACHF3""","12,400"
5,"""HFC-32/R-32¤G¬t¥ÒÖJ¡ACH2F2""",677
6,"""HFC-41¤@¬t¥ÒÖJ¡ACH3F""",116
7,"""HFC-125/R-125¡A1,1,1,2,2-¤­¬t¤AÖJ¡AC2HF5""","3,170"
8,"""HFC-134¡A1,1,2,2-¥|¬t¤AÖJ¡AC2H2F4""","1,120"
9,"""HFC-134a/R-134a¡A1,1,1,2-¥|¬t¤AÖJ¡AC2H2F4""","1,300"
10,"""HFC-143¡A1,1,2-¤T¬t¤AÖJ¡ACHF2CH2F""",328
11,"""HFC-143a/R-143a¡A1,1,1-¤T¬t¤AÖJ¡AC2H3F3""","4,800"
12,"""HFC-152¡A1,2-¤G¬t¤AÖJ¡ACH2FCH2F""",16
13,"""HFC-152a/R-152a¡A1,1-¤G¬t¤AÖJ¡AC2H4F2""",138
14,"""HFC-161¡A¤@¬t¤AÖJ¡ACH3CH2F""",4
15,"""HFC-227ca¡ACF3CF2CHF2""","2,640"
16,"""HFC-227ea¡A1,1,1,2,3,3,3-¤C¬t¤þÖJ¡ACF3CHFCF3""","3,350"
17,"""HFC-236cb¡A1,1,1,2,2,3-¤»¬t¤þÖJ¡ACH2FCF2CF3""","1,210"
18,"""HFC-236ea¡A1,1,1,2,3,3-¤»¬t¤þÖJ¡ACHF2CHFCF3""","1,330"
19,"""HFC-236fa¡A1,1,1,3,3,3-¤»¬t¤þÖJ¡AC3H2F6""","8,060"
20,"""HFC-245ca¡A1,1,2,2,3-¤­¬t¤þÖJ¡ACH2FCF2CHF2""",716
21,"""HFC-245cb¡ACF3CF2CF3""","4,620"
22,"""HFC-245ea¡ACHF2CHFCHF2""",235
23,"""HFC-245eb¡ACH2FCHFCF3""",290
24,"""HFC-245fa¡A1,1,1,3,3-¤­¬t¤þÖJ¡ACHF2CH2CF3""",858
25,"""HFC-263fb¡ACH3CH2CF3""",76
26,"""HFC-272ca¡ACH3CF2CH3""",144
27,"""HFC-329p¡ACHF2CF2CF2CF3""","2,360"
28,"""HFC-365mfc¡A1,1,1,3,3-¤­¬t¤BÖJ¡ACF3CH2CF2CH3""",804
29,"""HFC-43-10mee¡A1,1,1,2,2,3,4,5,5,5-¤Q¬t¥³ÖJ¡ACF3CHFCHFCF2CF3""","1,650"
30,"""HCFC-22¡ACHF2Cl""","1,760"
31,"""NF3¡A¤T¬t¤Æ´á""","16,100"
32,"""SF6¡A¤»¬t¤Æ²¸""","23,500"
33,"""Trifluoromethyl sulphur pentafluorideASF5CF3""","17,400"
34,"""Sulphuryl fluoride¡ASO2F2""","4,090"
35,"""PFC-14¡A¥|¬t¤ÆºÒ¡ACF4""","6,630"
36,"""PFC-116¡A¤»¬t¤AÖJ¡AC2F6""","11,100"
37,"""Perfluorocyclopropane (PFC-c216)¡Ac-C3F6""","9,200"
38,"""PFC-218 ¡AC3F8¡A¥þ¬t¤þÖJ""","8,900"
39,"""PFC-318 ¡Cc-C4F8¡A¤K¬tÀô¤BÖJ""","9,540"
40,"""C4F10¡A¥þ¬t¤BÖJ""","9,200"
41,"""Perfluorocyclopentene¡Ac-C5F8¡A¤K¬tÀô¥³²m""",2
42,"""PFC-4-1-12¡AC5F12 (n-C5F12)¡A¥þ¬t¥³ÖJ""","8,550"
43,"""PFC-5-1-14 ¡AC6F14 (n-C6F14)¡A¥þ¬t¤vÖJ""","7,910"
44,"""R-401A¡AHCFC-22/HFC-152a/HCFC-124 (53.0/13.0/34.0)""","1,130"
45,"""R-401B¡AHCFC-22/HFC-152a/HCFC-124 (61.0/11.0/28.0)""","1,236"
46,"""R-401C¡AHCFC-22/HFC-152a/HCFC-124 (33.0/15.0/52.0)""",876
47,"""R-402A¡AHFC-125/HC-290/HCFC-22 (60.0/2.0/38.0)""","2,571"
48,"""R-402B¡AHFC-125/HC-290/HCFC-22 (38.0/2.0/60.0)""","2,261"
49,"""R-403A¡AHC-290/HCFC-22/PFC-218 (5.0/75.0/20.0)""","3,100"
50,"""R-403B¡AHC-290/HCFC-22/PFC-218 (5.0/56.0/39.0)""","4,457"
51,"""R-404A¡AHFC-125/HFC-143a/HFC-134a (44.0/52.0/4.0)""","3,943"
52,"""R-405A¡AHCFC-22/ HFC-152a/ HCFC-142b/PFC-318 (45.0/7.0/5.5/42.5)""","4,965"
53,"""R-406A¡AHCFC-22/HC-600a/HCFC-142b (55.0/14.0/41.0)""","1,780"
54,"""R-407A¡AHFC-32/HFC-125/HFC-134a (20.0/40.0/40.0)""","1,923"
55,"""R-407B¡AHFC-32/HFC-125/HFC-134a (10.0/70.0/20.0)""","2,547"
56,"""R-407C¡AHFC-32/HFC-125/HFC-134a (23.0/25.0/52.0)""","1,624"
57,"""R-407D¡AHFC-32/HFC-125/HFC-134a (15.0/15.0/70.0)""","1,487"
58,"""R-407E¡AHFC-32/HFC-125/HFC-134a (25.0/15.0/60.0)""","1,425"
59,"""R-408A¡AHFC-125/HFC-143a/HCFC-22 (7.0/46.0/47.0)""","3,257"
60,"""R-409A¡AHCFC-22/HCFC-124/HCFC-142b (60.0/25.0/15.0)""","1,485"
61,"""R-409B¡AHCFC-22/HCFC-124/HCFC-142b (65.0/25.0/10.0)""","1,474"
62,"""R-410A¡AHFC-32/HFC-125 (50.0/50.0)""","1,924"
63,"""R-410B¡AHFC-32/HFC-125 (45.0/55.0)""","2,048"
64,"""R-411A¡AHC-1270/HCFC-22/HFC-152a (1.5/87.5/11.0)""","1,555"
65,"""R-411B¡AHC-1270/HCFC-22/HFC-152a (3.0/94.0/3.0)""","1,659"
66,"""R-411C¡AHC-1270/HCFC-22/HFC-152a (3.0/95.5/1.5)""","1,683"
67,"""R-412A¡AHCFC-22/PFC-218/HCFC-142b (70.0/5.0/25.0)""","2,172"
68,"""R-413A¡APFC-218/HFC-134a/HC-600a (9.0/88.0/3.0)""","1,945"
69,"""R-414A¡AHCFC-22/HCFC-124/HC-600a/HCFC-142b (51.0/28.5/4.0/16.5)""","1,375"
70,"""R-414B¡AHCFC-22/HCFC-124/HC-600a/HCFC-142b (50.0/39.0/1.5/9.5)""","1,274"
71,"""R-415A¡AHCFC-22/HFC-152a (82.0/18.0)""","1,468"
72,"""R-415B¡AHCFC-22/HFC-152a (25.0/75.0)""",544
73,"""R-416A¡AHFC-134a/HCFC-124/HC-600 (59.0/39.5/1.5)""",975
74,"""R-417A¡AHFC-125/HFC-134a/HC-600 (46.6/50.0/3.4)""","2,127"
75,"""R-418A¡AHC-290/HCFC-22/HFC-152a (1.5/96.0/2.5)""","1,693"
76,"""R-419A¡AHFC-125/HFC-134a/HE-E170 (77.0/19.0/4.0)""","2,688"
77,"""R-420A¡AHFC-134a/HCFC-142b (88.0/12.0)""","1,382"
78,"""R-421A¡AHFC-125/HFC-134a (58.0/42.0)""","2,385"
79,"""R-421B¡AHFC-125/HFC-134a (85.0/15.0)""","2,890"
80,"""R-422A¡AHFC-125/HFC-134a/HC-600a (85.1/11.5/3.4)""","2,847"
81,"""R-422B¡AHFC-125/HFC-134a/HC-600a (55.0/42.0/3.0)""","2,290"
82,"""R-422C¡AHFC-125/HFC-134a/HC-600a (82.0/15.0/3.0)""","2,794"
83,"""R-500¡ACFC-12/HFC-152a (73.8/26.2)""","7,564"
84,"""R-501¡AHCFC-22/CFC-12 (75.0/25.0)""","3,870"
85,"""R-502¡AHCFC-22/CFC-115 (48.8/51.2)""","4,786"
86,"""R-503¡AHFC-23/CFC-13 (40.1/59.9)""","13,299"
87,"""R-504¡AHFC-32/CFC-115 (48.2/51.8)""","4,299"
88,"""R-505¡ACFC-12/HCFC-31 (78.0/22.0)""","7,956"
89,"""R-506¡ACFC-31/CFC-114 (55.1/44.9)""","3,857"
90,"""R-507A¡AHFC-125/HFC-143a (50.0/50.0)""","3,985"
91,"""R-508A¡AHFC-23/PFC-116 (39.0/61.0)""","11,607"
92,"""R-508B¡AHFC-23/PFC-116 (46.0/54.0)""","11,698"
93,"""R-509A¡AHCFC-22/PFC-218 (44.0/56.0)""","5,758"